attributes,values,context_unaware,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,length_cost,max_mess_len,train_loss,train_accuracy,train_length,test_loss,test_accuracy,test_length
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.022670870646834373,0.9964701533317566,12.168739318847656,0.04980786144733429,0.9861924052238464,11.590277671813965
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.008113536983728409,0.9998371601104736,8.328790664672852,0.019435489550232887,0.9963868260383606,8.480902671813965
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.01660713367164135,0.9980855584144592,10.437392234802246,0.046937741339206696,0.9906522035598755,9.6875
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.05347898602485657,0.9908964037895203,3.9999992847442627,0.06586340814828873,0.9877604246139526,4.0
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.07455814629793167,0.9847366809844971,4.18942928314209,0.10653498768806458,0.9716986417770386,4.19618034362793
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.06044583395123482,0.9884257912635803,4.0993828773498535,0.10999777168035507,0.9722655415534973,4.121527671813965
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.011059379205107689,0.999994158744812,10.998213768005371,0.023235704749822617,0.9963541030883789,11.0
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.029250672087073326,0.9939411282539368,9.009146690368652,0.051317498087882996,0.986211359500885,8.80555534362793
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.010733204893767834,0.9993317127227783,5.9999799728393555,0.028957460075616837,0.9943576455116272,6.0
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.02468382753431797,0.995060384273529,4.0,0.041586630046367645,0.9892268776893616,4.0
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.03460123389959335,0.9919904470443726,5.8557233810424805,0.05286188796162605,0.9846570491790771,5.612847328186035
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.049979258328676224,0.9877397418022156,8.351995468139648,0.06206129491329193,0.9836208820343018,7.97569465637207
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.05597314611077309,0.9895653128623962,3.7541377544403076,0.06810231506824493,0.9866021275520325,3.6822917461395264
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.021696727722883224,0.9960260987281799,4.0,0.07059445977210999,0.9832236766815186,4.0
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.029260776937007904,0.9948392510414124,8.937333106994629,0.06909342110157013,0.9803711771965027,8.65451431274414
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.03865421190857887,0.9903444051742554,5.9999589920043945,0.0518156960606575,0.9871528148651123,6.0
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.07692128419876099,0.9847319722175598,4.348792552947998,0.10148514807224274,0.9793322086334229,4.234375
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.04550028219819069,0.9937415719032288,4.116154193878174,0.07229141891002655,0.9829047322273254,4.184027671813965
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.046249404549598694,0.9937101602554321,4.43427848815918,0.08911534398794174,0.9826931357383728,4.421875
3,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.050278354436159134,0.9920281171798706,3.9999985694885254,0.10285516828298569,0.9693257212638855,4.0
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.025992048904299736,0.9949827194213867,5.9999847412109375,0.0415378101170063,0.9921005964279175,6.0
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.04374951124191284,0.9900225400924683,3.9999992847442627,0.08055900037288666,0.9835938215255737,4.0
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.026104506105184555,0.9952088594436646,7.851536750793457,0.03968767076730728,0.9929687976837158,7.904513835906982
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.013624841347336769,0.9998268485069275,7.728261947631836,0.0262293741106987,0.9953911900520325,7.572916507720947
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.027040893211960793,0.9948014616966248,10.899985313415527,0.047098953276872635,0.9863444566726685,10.956597328186035
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.022941643372178078,0.995644748210907,5.999996662139893,0.062202971428632736,0.9877604246139526,6.0
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.07469221204519272,0.985343337059021,4.171990871429443,0.08967535197734833,0.9787299036979675,4.05381965637207
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.015331724658608437,0.9990110397338867,7.736922264099121,0.025076238438487053,0.9957058429718018,7.552083492279053
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.030643191188573837,0.9928251504898071,4.0,0.06555891036987305,0.9831597208976746,4.0
3,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.05653047561645508,0.9899052381515503,4.040443420410156,0.07418522238731384,0.9845485687255859,3.918402671813965
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.09930530935525894,0.9756813049316406,4.373318672180176,0.11105607450008392,0.9723598957061768,4.360618591308594
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.060004472732543945,0.9876096844673157,5.9088053703308105,0.0657472312450409,0.9868320822715759,5.793022632598877
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.11889118701219559,0.9725218415260315,2.936793804168701,0.1397262066602707,0.9656609296798706,2.9323818683624268
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.08809491246938705,0.9828886985778809,3.5722718238830566,0.09697313606739044,0.9816763997077942,3.576517343521118
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.026504099369049072,0.9953044652938843,10.772902488708496,0.03559206426143646,0.9930063486099243,11.356704711914062
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.10492567718029022,0.9695799350738525,20.919925689697266,0.14884290099143982,0.9524686932563782,20.971525192260742
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.024322079494595528,0.9952806830406189,10.985158920288086,0.032868243753910065,0.9926482439041138,10.99523639678955
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.023017872124910355,0.9956725239753723,6.0,0.03060268610715866,0.9941433668136597,6.0
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.038788050413131714,0.9923670291900635,5.90000057220459,0.04475247114896774,0.9912007451057434,5.871147632598877
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.209706112742424,0.928229033946991,20.101055145263672,0.28072068095207214,0.9049128890037537,20.403215408325195
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.05163982883095741,0.9887852668762207,4.0,0.05853593721985817,0.9871297478675842,4.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.0962146446108818,0.9761311411857605,2.9999916553497314,0.10526898503303528,0.9744459986686707,3.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.04420141130685806,0.990384042263031,4.0,0.05046167969703674,0.9890227913856506,4.0
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.031174104660749435,0.9945351481437683,5.42771577835083,0.03648890182375908,0.9935493469238281,5.409890651702881
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.03268007934093475,0.9939586520195007,4.0,0.037505511194467545,0.9927263855934143,4.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.013536179438233376,0.9979735016822815,10.092087745666504,0.012621999718248844,0.9986121654510498,10.323060989379883
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.6818478107452393,0.553000807762146,1.0,0.6866272687911987,0.5411356687545776,1.0
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.040351223200559616,0.9925470948219299,6.0,0.04750610888004303,0.9917252063751221,6.0
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.10774679481983185,0.9763693809509277,3.2526931762695312,0.11534609645605087,0.9753766655921936,3.2509381771087646
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.028414038941264153,0.9954705834388733,7.600503921508789,0.03312208503484726,0.9942838549613953,7.556962013244629
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.06332620978355408,0.9865172505378723,4.402402877807617,0.07038488239049911,0.9849432706832886,4.4156575202941895
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.6829244494438171,0.5504275560379028,1.0,0.6872435212135315,0.5353931188583374,1.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.03609877824783325,0.9931164979934692,4.0,0.03968214988708496,0.9927406907081604,4.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.08989045023918152,0.9824095964431763,3.4522273540496826,0.09988291561603546,0.9794542789459229,3.4538466930389404
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.053074102848768234,0.9893048405647278,6.0,0.06074291095137596,0.9878640174865723,6.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.07757613807916641,0.9828439950942993,4.721158981323242,0.08989396691322327,0.9805929064750671,4.785894393920898
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.09266356378793716,0.9815995097160339,3.427119493484497,0.10402721166610718,0.9795851707458496,3.441401720046997
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.11943554878234863,0.9715947508811951,2.8082470893859863,0.16165736317634583,0.954144299030304,2.8144824504852295
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.6743792295455933,0.5599613785743713,1.0,0.6804103255271912,0.5405349135398865,1.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.6808490753173828,0.5543243885040283,1.0,0.6849948763847351,0.5429813861846924,1.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.2557130455970764,0.9021651744842529,20.999914169311523,0.2975444793701172,0.8810182809829712,21.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.03590477630496025,0.998124361038208,5.556856155395508,0.05289333313703537,0.9946281313896179,5.582706451416016
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.03730199858546257,0.9979946613311768,5.658594131469727,0.05415938049554825,0.9950882196426392,5.826121807098389
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.05961226671934128,0.9902901649475098,3.7103233337402344,0.20493543148040771,0.9414777159690857,3.6793878078460693
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.13378390669822693,0.964337170124054,3.563399314880371,0.308767706155777,0.8954624533653259,3.558974266052246
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.25872740149497986,0.9028348922729492,30.999996185302734,0.30174675583839417,0.8793907165527344,31.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.2605975866317749,0.9015232920646667,30.986328125,0.27829718589782715,0.8948167562484741,30.97917938232422
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.03832927718758583,0.995608389377594,3.999990940093994,0.22379347681999207,0.9455325603485107,4.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.035760506987571716,0.9980383515357971,5.464670181274414,0.0670936182141304,0.9926486611366272,5.6433329582214355
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.04999822378158569,0.9906882047653198,3.682847499847412,0.32554593682289124,0.896726667881012,3.711756706237793
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.011249874718487263,0.9981933236122131,6.0,0.02799892984330654,0.9950256943702698,6.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.017030276358127594,0.9966959357261658,4.0,0.33497127890586853,0.911742627620697,4.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.03924626111984253,0.9950203895568848,3.838348627090454,0.23825596272945404,0.9380701780319214,3.8263845443725586
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.015836190432310104,0.9965013265609741,4.0,0.7529628872871399,0.8349244594573975,4.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.017070846632122993,0.9974687695503235,6.0,0.04104301705956459,0.9922595024108887,6.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.029690194875001907,0.9932565689086914,11.0,0.03222058340907097,0.9927176833152771,11.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.2244562953710556,0.9156553745269775,21.0,0.2689221203327179,0.896664023399353,21.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.01703011244535446,0.9986865520477295,11.0,0.017794284969568253,0.9983635544776917,11.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.011731167323887348,0.9988052845001221,6.0,0.020872335880994797,0.9965078234672546,6.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.015518770553171635,0.997412383556366,4.0,0.26193559169769287,0.9316331148147583,4.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.016285249963402748,0.9990111589431763,11.0,0.017889173701405525,0.9988080859184265,11.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.014902278780937195,0.9980077743530273,5.899998188018799,0.04484757408499718,0.991671621799469,5.947198390960693
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.29216131567955017,0.8874263167381287,20.99973487854004,0.35485729575157166,0.856380820274353,20.99959945678711
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.02437094785273075,0.9972977042198181,12.81174087524414,0.026405561715364456,0.9969213604927063,12.902889251708984
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.2300240397453308,0.9049050211906433,11.0,0.3121531903743744,0.8661438822746277,11.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.029180163517594337,0.9986774325370789,4.597599983215332,0.142014279961586,0.9681159257888794,4.623525142669678
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.0414116270840168,0.9942220449447632,4.138922691345215,0.2998984158039093,0.9161830544471741,4.255035400390625
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.011882439255714417,0.9979137182235718,6.0,0.028472870588302612,0.9934951066970825,6.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.013801912777125835,0.9989501237869263,8.906387329101562,0.015009521506726742,0.9989049434661865,8.75820255279541
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.01632157526910305,0.9965929985046387,4.0,0.2660619914531708,0.9282809495925903,4.0
